item_label1;number_item_label1;item_class1;item_label2;number_item_label2;item_class2;correlation;p_value;relation_number;item_class1 (grupos)
"NPS";"6342";"NPS";"la exhibición de los productos dentro de la tienda";"415";"Producto";"0.2901352594368857";"1.097436360481583e-82";141;"4"
"NPS";"6342";"NPS";"la experiencia y diversión para los niños/as";"342";"Experiencia";"0.4285591860218535";"6.01226496290981e-81";113;"4"
"NPS";"6342";"NPS";"la música y ambientación";"392";"Experiencia";"0.2150502310648878";"9.313326170610046e-81";121;"4"
"NPS";"6342";"NPS";"la atención e interés por el niño o la niña";"337";"Servicio";"0.4536338038629758";"5.588016692445569e-79";120;"4"
"NPS";"6342";"NPS";"el diseño de las vitrinas";"345";"Experiencia";"0.2078401705611384";"1.103785966720751e-75";121;"4"
"NPS";"6342";"NPS";"los probadores/Vestier";"316";"Experiencia";"0.4604511205225484";"1.837094193203598e-74";105;"4"
"NPS";"6342";"NPS";"la Información sobre cambios y garantías";"310";"Experiencia";"0.4585465145127194";"5.816684597055695e-68";101;"4"
"NPS";"6342";"NPS";"los espacios de diversión para los niños";"314";"Experiencia";"0.2040501354540167";"8.044420848410662e-62";104;"4"
"la satisfacción general con los productos";"385";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.366829215388174";"1.136412437697813e-24";31;"Producto"
"la facilidad para encontrar lo que buscabas";"394";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.7324220137800286";"1.080288435788033e-22";21;"Servicio"
"la variedad de productos en la tienda";"404";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.5877750166755654";"2.309245919294129e-22";36;"Producto"
"la satisfacción general con los productos";"385";"Producto";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"0.9375151330497746";"4.099377581369497e-15";12;"Producto"
"el ofrecimiento de opciones para complementar el look";"353";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.1936491673103708";"2.084616399504376e-14";14;"Servicio"
"el diseño de los productos";"401";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.5757575757575757";"1.648002439693479e-12";14;"Producto"
"la amabilidad en la atención";"392";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"7.398786007826692e-09";8;"Servicio"
"la satisfacción general con la asesoría y servicio";"393";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"7.398786007826692e-09";8;"Servicio"
"la calidad de los productos";"382";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.6614378277661476";"6.728300158881564e-08";9;"Producto"
"el precio vs producto adquirido";"326";"Producto";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"0.7894736842105265";"1.605588579369447e-07";8;"Producto"
"la variedad de productos en la tienda";"404";"Producto";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"0.7801852150110314";"2.623959982091323e-07";12;"Producto"
"el tiempo de respuesta";"347";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"NaN";"9.13685750289227e-07";6;"Servicio"
"el precio vs producto adquirido";"326";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"-0.1139901881468882";"1.025173821741809e-06";9;"Producto"
"el interés e indagación de tu necesidad";"316";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"2.071356569152637e-06";6;"Servicio"
"el precio vs producto adquirido";"326";"Producto";"la satisfacción general con los productos";"385";"Producto";"0.5400822772125939";"3.26797510672448e-06";63;"Producto"
"la disponibilidad de los productos";"376";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.1084652289093281";"5.309324828300002e-06";7;"Producto"
"el diseño de las vitrinas";"345";"Experiencia";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.6123724356957947";"1.300130576672138e-05";5;"5"
"la atención e interés por el niño o la niña";"337";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.1999999999999999";"1.68297157321242e-05";6;"Servicio"
"el interés e indagación de tu necesidad";"316";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"0.4082482904638631";"2.505790049901065e-05";5;"Servicio"
"la disponibilidad de los productos";"376";"Producto";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"0.2169304578186562";"0.0001509914575758";6;"Producto"
"NPS";"6342";"NPS";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"0.8688829915359797";"0.0001566021471641";617;"4"
