Id;SurveyAnswerID;Content;BeginOffset;SentimentScore;SentimentMagnitude
10088;56220;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10099;56297;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10163;56669;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10201;56853;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10344;57415;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10350;57435;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10500;58014;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10779;58764;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10830;58946;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10851;59028;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
10944;59350;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11039;59703;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11068;59793;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11206;60248;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11225;60313;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11469;61140;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11509;61312;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11565;61583;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11571;61627;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11615;61843;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11626;61905;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11852;62817;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11876;62920;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11930;63134;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
11961;63306;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12024;63615;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12114;64050;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12127;64109;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12147;64182;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12187;64342;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12235;64538;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
12344;65063;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
